
******本文件为VBC程序读取桥梁、轨道模态信息的文件，格式与MIDAS软件模态表格样式类似******

     模态号      圆频率                    频率                    周期

****No.       (rad/sec)               (cycle/sec)            (sec)，   括弧部分为读取振型位移标记，不得删除或改变！******
         1      1.192093E-07      1.897275E-08      3.451519E+07
         2      2.064765E-07      3.286176E-08      2.333082E+07
         3      1.040998E+01      1.656800E+00      6.035731E-01
         4      3.024790E+01      4.814102E+00      2.077231E-01
         5      3.259043E+01      5.186928E+00      1.927923E-01
         6      3.536697E+01      5.628828E+00      1.776569E-01
         7      5.515786E+01      8.778645E+00      1.139128E-01
         8      8.091228E+01      1.287759E+01      7.765429E-02
         9      1.158651E+02      1.844050E+01      5.422845E-02
        10      1.427533E+02      2.271989E+01      4.401431E-02
        11      1.532932E+02      2.439736E+01      4.098803E-02
        12      1.585828E+02      2.523924E+01      3.962084E-02
        13      1.585828E+02      2.523924E+01      3.962084E-02
        14      1.620966E+02      2.579847E+01      3.876199E-02
        15      2.164039E+02      3.444175E+01      2.903453E-02
        16      2.356033E+02      3.749744E+01      2.666849E-02
        17      2.380465E+02      3.788627E+01      2.639478E-02
        18      2.733691E+02      4.350804E+01      2.298426E-02
        19      3.072173E+02      4.889515E+01      2.045193E-02
        20      3.149890E+02      5.013206E+01      1.994732E-02
        21      3.358444E+02      5.345129E+01      1.870862E-02
        22      3.614898E+02      5.753288E+01      1.738136E-02
        23      3.731828E+02      5.939388E+01      1.683675E-02
        24      4.365931E+02      6.948595E+01      1.439140E-02
        25      4.734262E+02      7.534813E+01      1.327173E-02
        26      4.753286E+02      7.565089E+01      1.321862E-02
        27      4.774891E+02      7.599475E+01      1.315880E-02
        28      4.774891E+02      7.599475E+01      1.315880E-02
        29      4.830941E+02      7.688682E+01      1.300613E-02
        30      5.466497E+02      8.700200E+01      1.149399E-02
        31      5.682882E+02      9.044588E+01      1.105634E-02
        32      5.843883E+02      9.300828E+01      1.075173E-02
        33      5.995299E+02      9.541815E+01      1.048019E-02
        34      6.374585E+02      1.014547E+02      9.856618E-03
        35      6.822412E+02      1.085821E+02      9.209624E-03
        36      6.972181E+02      1.109657E+02      9.011793E-03
        37      7.800625E+02      1.241508E+02      8.054720E-03
        38      8.016338E+02      1.275840E+02      7.837975E-03
        39      8.016338E+02      1.275840E+02      7.837975E-03
        40      8.169684E+02      1.300246E+02      7.690855E-03
        41      8.629312E+02      1.373398E+02      7.281213E-03
        42      8.941353E+02      1.423061E+02      7.027108E-03
        43      9.010758E+02      1.434107E+02      6.972982E-03
        44      9.452714E+02      1.504446E+02      6.646964E-03
        45      9.789010E+02      1.557969E+02      6.418611E-03
        46      1.015811E+03      1.616713E+02      6.185391E-03
        47      1.024971E+03      1.631292E+02      6.130110E-03
        48      1.077417E+03      1.714763E+02      5.831711E-03
        49      1.090959E+03      1.736316E+02      5.759320E-03
        50      1.095155E+03      1.742994E+02      5.737255E-03
        51      1.125576E+03      1.791409E+02      5.582197E-03
        52      1.134552E+03      1.805696E+02      5.538030E-03
        53      1.134552E+03      1.805696E+02      5.538030E-03
        54      1.167292E+03      1.857802E+02      5.382704E-03
        55      1.193873E+03      1.900108E+02      5.262858E-03
        56      1.238628E+03      1.971338E+02      5.072696E-03
        57      1.246621E+03      1.984059E+02      5.040172E-03
        58      1.318458E+03      2.098391E+02      4.765556E-03
        59      1.382815E+03      2.200819E+02      4.543764E-03
        60      1.408330E+03      2.241427E+02      4.461443E-03
        61      1.479798E+03      2.355172E+02      4.245975E-03
        62      1.479798E+03      2.355172E+02      4.245975E-03
        63      1.485647E+03      2.364481E+02      4.229258E-03
        64      1.494208E+03      2.378106E+02      4.205026E-03
        65      1.509142E+03      2.401874E+02      4.163416E-03
        66      1.578418E+03      2.512130E+02      3.980686E-03
        67      1.599964E+03      2.546422E+02      3.927078E-03
        68      1.695660E+03      2.698727E+02      3.705451E-03
        69      1.697951E+03      2.702372E+02      3.700452E-03
        70      1.704728E+03      2.713159E+02      3.685741E-03
        71      1.711495E+03      2.723928E+02      3.671169E-03
        72      1.766856E+03      2.812039E+02      3.556139E-03
        73      1.790587E+03      2.849807E+02      3.509009E-03
        74      1.799722E+03      2.864346E+02      3.491198E-03
        75      1.840832E+03      2.929776E+02      3.413230E-03
        76      1.840832E+03      2.929776E+02      3.413230E-03
        77      1.859816E+03      2.959989E+02      3.378391E-03
        78      1.879991E+03      2.992099E+02      3.342135E-03
        79      1.961559E+03      3.121917E+02      3.203160E-03
        80      1.969847E+03      3.135109E+02      3.189682E-03
        81      2.041549E+03      3.249226E+02      3.077656E-03
        82      2.096973E+03      3.337437E+02      2.996312E-03
        83      2.100429E+03      3.342936E+02      2.991382E-03
        84      2.134892E+03      3.397786E+02      2.943093E-03
        85      2.220633E+03      3.534248E+02      2.829457E-03
        86      2.220755E+03      3.534442E+02      2.829301E-03
        87      2.220755E+03      3.534442E+02      2.829301E-03
        88      2.235804E+03      3.558393E+02      2.810257E-03
        89      2.340479E+03      3.724988E+02      2.684573E-03
        90      2.346928E+03      3.735252E+02      2.677196E-03
        91      2.364844E+03      3.763766E+02      2.656913E-03
        92      2.391016E+03      3.805421E+02      2.627830E-03
        93      2.395736E+03      3.812932E+02      2.622654E-03
        94      2.446092E+03      3.893076E+02      2.568663E-03
        95      2.492914E+03      3.967596E+02      2.520418E-03
        96      2.540614E+03      4.043512E+02      2.473097E-03
        97      2.546353E+03      4.052647E+02      2.467523E-03
        98      2.578351E+03      4.103573E+02      2.436901E-03
        99      2.621741E+03      4.172630E+02      2.396570E-03
       100      2.621741E+03      4.172630E+02      2.396570E-03

******振型向量 (N,m)，本行中括弧部分为读取振型位移标记，不得删除或改变！******

******振型向量 (N,m)，本行中括弧部分为读取振型位移标记，不得删除或改变！******
         1         1      0.000000E+00      0.000000E+00      6.110113E-07      0.000000E+00      0.000000E+00      0.000000E+00	
         2         1      4.617127E-20      4.374718E-20      6.110113E-07     -3.835904E-19      2.074447E-20     -1.360957E-19	
         3         1      1.790244E-19      4.020896E-20      6.110113E-07     -8.000478E-19      3.940426E-20     -2.000961E-19	
