       Node,    Mode,   Dis
       1,       1,      0.000000E+00,      0.000000E+00,      1.903242E-06,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,       1,      0.000000E+00,      0.000000E+00,     -1.173735E-06,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,       1,     -1.361929E-19,     -1.493641E-19,      1.903242E-06,     -3.850881E-18,      9.615552E-08,      2.664380E-19	
      34,       1,     -2.375643E-19,      1.219492E-19,      1.807086E-06,     -3.725461E-18,      9.615552E-08,      2.810606E-19	
      41,       1,     -2.437629E-19,     -4.952466E-21,      1.133998E-06,     -2.847504E-18,      9.615552E-08,     -8.603020E-20	
      49,       1,      1.452349E-19,      2.308478E-19,      3.647535E-07,     -1.844122E-18,      9.615552E-08,      2.690975E-20	
      57,       1,     -3.168506E-20,     -1.265912E-19,     -4.044906E-07,     -8.407422E-19,      9.615552E-08,     -1.325777E-19	
      65,       1,      6.429839E-21,      1.211140E-19,     -1.173735E-06,      1.626372E-19,      9.615552E-08,     -2.099157E-19	


       Node,    Mode,   Dis
       1,       2,      0.000000E+00,      0.000000E+00,      1.173733E-06,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,       2,      0.000000E+00,      0.000000E+00,      1.903241E-06,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,       2,      3.880555E-20,      2.789498E-20,      1.173733E-06,     -6.517700E-18,     -2.279712E-08,      4.945434E-19	
      34,       2,     -7.271036E-20,      3.300986E-19,      1.196530E-06,     -6.544884E-18,     -2.279712E-08,     -8.247203E-20	
      41,       2,     -1.145028E-19,     -3.362054E-19,      1.356110E-06,     -6.735181E-18,     -2.279712E-08,     -1.222902E-19	
      49,       2,      2.312418E-19,     -1.416148E-19,      1.538487E-06,     -6.952665E-18,     -2.279712E-08,      7.732097E-20	
      57,       2,     -4.863762E-20,     -3.366794E-19,      1.720864E-06,     -7.170148E-18,     -2.279712E-08,     -1.343435E-19	
      65,       2,     -2.447401E-19,      5.356839E-20,      1.903241E-06,     -7.387631E-18,     -2.279712E-08,      3.419370E-19	


       Node,    Mode,   Dis
       1,       3,      0.000000E+00,      0.000000E+00,     -1.553302E-18,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,       3,      0.000000E+00,      0.000000E+00,      7.988726E-20,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,       3,      8.763160E-04,     -1.575034E-19,     -5.503025E-19,     -3.008353E-19,      1.049739E-19,      2.683592E-19	
      34,       3,      8.766816E-04,      9.768856E-20,     -5.748920E-19,     -2.985359E-19,     -1.245198E-19,      2.198430E-19	
